Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,00:09:14.710,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
2,00:09:15.316,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
3,00:09:15.725,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
4,00:09:16.204,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
5,00:09:16.633,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
6,00:09:17.066,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
7,00:09:17.558,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
8,00:09:18.062,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
9,00:09:18.456,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
10,00:09:18.930,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
11,00:09:19.364,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
12,00:09:19.764,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
13,00:09:20.327,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
14,00:09:20.739,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
15,00:09:21.147,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
16,00:09:21.548,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
17,00:09:21.970,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
18,00:09:22.375,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
19,00:09:22.975,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
20,00:09:23.376,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
21,00:09:23.955,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
22,00:09:24.289,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
23,00:09:24.881,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
24,00:09:25.327,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
25,00:09:26.215,target,BB Gun,0.464000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0
26,00:09:26.762,target,BB Gun,0.001000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
27,00:09:27.346,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
28,00:09:27.785,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
29,00:09:28.232,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
30,00:09:28.694,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
31,00:09:29.094,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
32,00:09:29.744,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
33,00:09:30.311,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
34,00:09:30.966,target,BB Gun,0.325000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0
35,00:09:31.383,target,BB Gun,0.001000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
36,00:09:32.208,target,BB Gun,0.451000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0
37,00:09:32.587,target,BB Gun,0.001000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
38,00:09:32.942,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
39,00:09:33.336,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
40,00:09:33.724,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
41,00:09:34.157,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
42,00:09:34.920,target,BB Gun,0.408000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0
43,00:09:35.284,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
44,00:09:35.638,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
45,00:09:36.110,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
46,00:09:36.507,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
47,00:09:37.064,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
48,00:09:37.429,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
49,00:09:37.847,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
50,00:09:38.409,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
51,00:09:38.822,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
52,00:09:39.155,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
53,00:09:39.563,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
54,00:09:40.480,target,BB Gun,0.492000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0
55,00:09:40.956,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
56,00:09:41.514,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
57,00:09:41.881,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
58,00:09:42.436,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
59,00:09:42.947,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
60,00:09:43.551,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
61,00:09:44.084,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
62,00:09:44.519,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
63,00:09:44.919,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
64,00:09:45.354,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
65,00:09:45.749,target,BB Gun,0.001000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
66,00:09:46.128,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
67,00:09:46.587,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
68,00:09:46.991,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
69,00:09:47.512,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
70,00:09:47.846,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
71,00:09:48.272,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
72,00:09:48.704,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
73,00:09:49.338,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
74,00:09:50.084,target,BB Gun,0.437000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0
75,00:09:50.821,target,BB Gun,0.367000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0
76,00:09:51.176,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
77,00:09:51.622,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
78,00:09:52.437,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
79,00:09:52.958,target,BB Gun,0.001000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
80,00:09:53.437,target,BB Gun,0.001000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
